Time,Total
36.734,1418752
36.75,1484288
36.765,1243990
36.797,1571670
36.812,1375062
36.828,1462443
36.859,1506134
36.875,1506134
36.906,1309525
36.922,1287681
36.953,1593515
36.969,1484288
37.0,1309526
37.015,1243990
37.047,1178454
37.062,1527979
37.078,1331371
37.109,1243990
37.125,1462443
37.156,1134763
37.172,1243990
37.203,1112918
37.219,1462443
37.25,1462443
37.265,1309526
37.281,1243990
37.312,1091072
37.328,1899349
37.344,1418752
37.375,1593515
37.39,1571670
37.422,1353216
37.453,1156609
37.469,1200299
37.484,1506133
37.515,1287681
37.531,1396907
37.547,1047382
37.578,1440598
37.609,981846
37.625,1462443
37.64,1440598
37.656,1549825
37.687,1222144
37.703,1440598
37.719,1200299
37.734,1593515
37.781,1375062
37.812,1178453
37.828,1134763
37.844,1462443
37.875,1309526
37.89,1178454
37.906,1375062
37.937,1200299
37.984,1287680
38.015,1309526
38.031,1047381
38.047,1178454
38.078,1768278
38.094,1396907
38.109,1265835
38.14,1418752
38.156,1680896
38.172,1134763
38.203,1637206
38.219,981846
38.234,1003691
38.265,1418753
38.281,1353216
38.297,1265835
38.328,1396907
38.359,1440598
38.375,1112918
38.406,1047382
38.422,1287680
38.453,1047382
38.469,1112918
38.484,1353217
38.5,1418752
38.531,1287680
38.547,1593515
38.578,1418753
38.594,1396907
38.64,1331371
38.656,1396907
38.703,1309526
38.734,1178453
38.75,1134763
38.765,1375062
38.781,938155
38.812,1331371
38.828,1091072
38.844,1200299
38.875,1396907
38.89,1375062
38.906,1112918
38.937,1287680
38.953,1222144
38.969,1309526
39.0,1418753
39.015,1156609
39.047,1222144
39.062,1287680
39.094,981846
39.109,1243990
39.125,1484289
39.14,1506133
39.172,1331371
39.187,1418752
39.219,1527979
39.234,1462443
39.25,1353217
39.265,1396907
39.297,1353217
39.328,1156608
39.359,1440598
39.375,1418753
39.406,1200299
39.422,1200299
39.453,1243989
39.469,1396907
39.484,850774
39.5,1025536
39.531,1222144
39.547,1222144
39.578,1440597
39.609,1418753
39.625,1178454
39.656,1200299
39.672,1287681
39.703,1287680
39.719,1134763
39.734,1156608
39.765,1287680
39.781,1134763
39.797,1462443
39.828,1047382
39.844,1549825
39.859,1549824
39.89,1222145
39.922,1353216
39.937,1440598
39.969,1462443
40.015,1069227
40.047,1462443
40.062,1200299
40.094,1506134
40.109,1178454
40.156,1353217
40.172,1112918
40.187,1069227
40.219,1178454
40.265,1265835
40.281,1680897
40.312,1200299
40.328,1222144
40.344,1265835
40.375,981846
40.39,1112917
40.422,1418752
40.437,1440598
40.469,938155
40.484,1222145
40.5,1287680
40.531,981846
40.547,1200299
40.578,1178454
40.594,1134763
40.64,1243989
40.656,1331371
40.703,1680896
40.719,1287680
40.734,1593515
40.765,1069227
40.781,1571670
40.812,1112918
40.828,1287681
40.844,1353217
40.875,1200299
40.89,1134763
40.922,1309526
40.937,1112918
40.969,1222144
40.984,1418752
